weekday,month,year,business_day,wind_dir_degrees,precipitation_inches
6,1,2015,0,302.0,0.0
0,1,2015,0,9.0,0.0
1,1,2015,1,282.0,0.0
2,1,2015,1,42.0,0.0
3,1,2015,1,83.0,0.0
4,1,2015,1,302.0,0.0
5,1,2015,0,2.0,0.0
6,1,2015,0,47.0,0.0
0,1,2015,1,310.0,0.0
1,1,2015,1,9.0,0.0
2,1,2015,1,265.0,0.0
3,1,2015,1,273.0,0.0
4,1,2015,1,269.0,0.0
5,1,2015,0,276.0,0.0
6,2,2015,0,284.0,0.0
0,2,2015,1,268.0,0.0
1,2,2015,1,276.0,0.0
2,2,2015,1,254.0,0.0
3,2,2015,1,141.0,0.0
4,2,2015,1,150.0,0.91
5,2,2015,0,182.0,0.03
6,2,2015,0,156.0,0.99
0,2,2015,1,229.0,0.0
1,2,2015,1,292.0,0.0
2,2,2015,1,210.0,0.0
3,2,2015,1,278.0,0.0
4,2,2015,1,304.0,0.0
5,2,2015,0,324.0,0.0
6,2,2015,0,206.0,0.0
0,2,2015,0,313.0,0.0
1,2,2015,1,281.0,0.0
2,2,2015,1,288.0,0.0
3,2,2015,1,271.0,0.0
4,2,2015,1,220.0,0.0
5,2,2015,0,319.0,0.0
6,2,2015,0,360.0,0.0
0,2,2015,1,353.0,0.0
1,2,2015,1,244.0,0.0
2,2,2015,1,260.0,0.0
3,2,2015,1,259.0,0.0
4,2,2015,1,288.0,0.0
5,2,2015,0,257.0,0.07
6,3,2015,0,294.0,0.0
0,3,2015,1,174.0,0.0
1,3,2015,1,282.0,0.0
2,3,2015,1,294.0,0.0
3,3,2015,1,312.0,0.0
4,3,2015,1,306.0,0.0
5,3,2015,0,292.0,0.0
6,3,2015,0,285.0,0.0
0,3,2015,1,268.0,0.0
1,3,2015,1,292.0,0.0
2,3,2015,1,308.0,0.02
3,3,2015,1,282.0,0.0
4,3,2015,1,291.0,0.0
5,3,2015,0,297.0,0.0
6,3,2015,0,308.0,0.0
0,3,2015,1,281.0,0.0
1,3,2015,1,269.0,0.0
2,3,2015,1,260.0,0.0
3,3,2015,1,294.0,0.0
4,3,2015,1,292.0,0.0
5,3,2015,0,262.0,0.0
6,3,2015,0,197.0,0.02
0,3,2015,1,272.0,0.05
1,3,2015,1,286.0,0.0
2,3,2015,1,270.0,0.0
3,3,2015,1,297.0,0.0
4,3,2015,1,295.0,0.0
5,3,2015,0,267.0,0.0
6,3,2015,0,309.0,0.0
0,3,2015,1,270.0,0.0
1,3,2015,1,285.0,0.0
2,4,2015,1,301.0,0.0
3,4,2015,1,312.0,0.0
4,4,2015,1,256.0,0.0
5,4,2015,0,278.0,0.0
6,4,2015,0,252.0,0.11
0,4,2015,1,167.0,0.0
1,4,2015,1,235.0,0.52
2,4,2015,1,299.0,0.01
3,4,2015,1,289.0,0.0
4,4,2015,1,282.0,0.0
5,4,2015,0,279.0,0.0
6,4,2015,0,280.0,0.0
0,4,2015,1,276.0,0.0
1,4,2015,1,313.0,0.0
2,4,2015,1,303.0,0.0
3,4,2015,1,329.0,0.0
4,4,2015,1,293.0,0.0
5,4,2015,0,303.0,0.0
6,4,2015,0,298.0,0.0
0,4,2015,1,277.0,0.0
1,4,2015,1,249.0,0.0
2,4,2015,1,231.0,0.0
3,4,2015,1,234.0,0.0
4,4,2015,1,258.0,0.08
5,4,2015,0,268.0,0.14
6,4,2015,0,271.0,0.0
0,4,2015,1,270.0,0.0
1,4,2015,1,250.0,0.0
2,4,2015,1,249.0,0.0
3,4,2015,1,296.0,0.0
4,5,2015,1,312.0,0.0
5,5,2015,0,311.0,0.0
6,5,2015,0,274.0,0.0
0,5,2015,1,251.0,0.0
1,5,2015,1,225.0,0.0
2,5,2015,1,218.0,0.0
3,5,2015,1,204.0,0.0
4,5,2015,1,293.0,0.0
5,5,2015,0,263.0,0.0
6,5,2015,0,259.0,0.0
0,5,2015,1,254.0,0.0
1,5,2015,1,275.0,0.0
2,5,2015,1,268.0,0.0
3,5,2015,1,232.0,0.0
4,5,2015,1,269.0,0.0
5,5,2015,0,250.0,0.0
6,5,2015,0,264.0,0.0
0,5,2015,1,264.0,0.0
1,5,2015,1,257.0,0.0
2,5,2015,1,249.0,0.0
3,5,2015,1,255.0,0.0
4,5,2015,1,262.0,0.0
5,5,2015,0,238.0,0.0
6,5,2015,0,248.0,0.0
0,5,2015,0,257.0,0.0
1,5,2015,1,261.0,0.0
2,5,2015,1,269.0,0.0
3,5,2015,1,267.0,0.0
4,5,2015,1,266.0,0.0
5,5,2015,0,280.0,0.0
6,5,2015,0,267.0,0.0
